,text,emotion,sentiment
119,feel honoured able call friends share brotherhood,joy,positive
120,begun feel apprehensive thick black rain clouds stormed sky town,fear,negative
121,stated reason feel fearful feel unsafe,fear,negative
122,feel like getting shaken tsa quite yet pulled side creative croissants lunch,fear,positive
123,get groups feel really awkward overcompensate talkative getting really quiet,sadness,negative
124,excited finally meet companion companion times especially lonely lonely companion never disappoint companion put arms around make feel loved,love,positive
125,feel pretty safe blog img src http,joy,positive
126,feel pretty eager get done fun plan quilting,joy,positive
127,feeling horny ask lets go home,love,neutral
128,think poem put pressure feel uncomfortable sense feeling feel understanding understand loving able love,fear,positive
129,feel stranger strange land raising son place father ancestral home,surprise,negative
130,left shower questioning feel gorgeous fantastic body confident movement effortlessly graceful,joy,positive
131,feel energetic bouncy happy go gym run around outside kids take pram long walk often three one day,joy,positive
132,still feeling strong,joy,positive
133,burst tears devastating release feelings thoughts seemed know rich also go space without dumping,joy,negative
134,wanted get pumpkin spice latte morning hot last thing wanted hot coffee maybe feeling little bitter,anger,positive
135,suppose feels badly bit skeptical pain last months shes hyperchondria exaggeration habit past though never openly questioned,fear,negative
136,clench corners bed feel assured,joy,neutral
137,also feel like selfish grateful life amazing things,anger,positive
138,called god seen god book figured god right name feeling utterly affirmed accepted without question,love,positive
139,know perhaps girls office nice short hair perhaps feeling rebellious,anger,positive
140,feel miserable family type celebrates eid,sadness,negative
141,might go get car wash feeling really generous car needs,joy,positive
142,still feel sleep deprived almost sleeping night giving us,sadness,neutral
143,feel really violent right,anger,negative
144,bloging sitting feeling content dogs amp cat etc know lucky truth,joy,positive
145,started feeling funny friday woke sick dog,surprise,negative
146,feel need protect parents witch hunt repressed memory therapy,sadness,neutral
147,feel disgusted even associated woman race nationality,anger,negative
148,laughed bitterly wasnt feeling bitter,anger,positive
149,know feeling thought wished could us us knew however much hated first experience would remember forever,sadness,negative
150,feeling quite mellow wanted soft easy look wear beginning cold,joy,negative
151,told maybe need time think ive feeling indecisive things lately,fear,negative
152,still feel genre disservice stories resolved artifically,joy,neutral
153,always know feeling artistic write name artistic mood manitz draw circle dot bigger dot artistic feeling line like accent mark spanish im pissed,joy,positive
154,remember feeling really terrified brazil bus going steep mountain hills side mountain middle big storm wondering going fall,fear,positive
155,could feel whimper thought unloved uncared,sadness,neutral
156,im certainly going sit tell whats going personal life feel ever curious whats going life youd watch show,surprise,positive
157,im sorry wasnt humor post im feeling funny,surprise,negative
158,feel ive got foot door fantastic world walking running trails fells mountains,joy,positive
159,say whatever comes mind tell directly feel jealous girl insecure love person trust worthy friend sweet one love,anger,positive
160,feel strange coming back work one day holiday,fear,negative
161,im clearly influenced dash happiness emily dickinson example use dashes instead colons semi colons enhance feelings rushed enjambment sonnet,anger,positive
162,fatter thing life remain control whether get eat peanut butter bread get home impossible day first world looking yet third world feeling hell needy neglected little girls,sadness,negative
163,could claim redeem genre leave feeling entirely frustrated point beating head wall either,anger,negative
164,feel sad hopeless,sadness,negative
165,im getting feeling classes little intimidated concept lit,fear,negative
166,still feel groggy get routine son,sadness,neutral
167,feeling view isnt going popular thats fine,joy,positive
168,want hold feeling shocked awe wonder forever,surprise,negative
169,heard rumour st year exam results fear might one failures,fear,neutral
170,want feel valued appreciated know people love arent going anywhere even nature relationship changes,joy,positive
171,know days feel distracted,anger,neutral
172,use regularly relaxing music always feel invigorated afterward,joy,neutral
173,im feeling distracted tend practice eyes shut much possible,anger,neutral
174,feel like perfect w see youtube influences even know trends,joy,positive
175,specifically wanted tango feeling shy maks quite opposite hard get far enough away get good pics lol,fear,positive
176,also feel weird sleeping bed two slept,fear,negative
177,wish okay thinking earlier today heres thing cooped amp restless made feel needy,sadness,positive
178,ive lost weight could fit tiny skirt ive unable wear didnt feel confident,joy,positive
179,hope feel bit creative soon miss presence life blog,joy,positive
180,fan current president conservative made feel unwelcome,sadness,neutral
181,enclose verses could weigh much thinking feeling curious hear odd couple,surprise,negative
182,begin feel complacent life,joy,neutral
183,feel vulnerable alone,fear,negative
184,remember feeling inspired thinking fine example parenting,joy,positive
185,feel like always one getting punished stupid things feel like chastised behaving,sadness,negative
186,really feel life perfect right isnt much ask hope everything would stay,joy,positive
187,im simply feel contented,joy,neutral
188,im saying cut everyone life feel important find comfort solitude meditation working projects alone,joy,positive
189,think im stupid feeling nervous,fear,negative
190,feel honored,joy,neutral
191,feeling act god work life amazing feeling,surprise,positive
192,feel im like bird flying air carefree manner,joy,neutral
193,revise replies mind make sure reply sounds appropriate enough person receive reply feel offended,anger,positive
194,felt sad friend mine died felt something irrevocably gone away,sadness,negative
195,died would alex matt feel regretful coming visit,sadness,neutral
196,feel educating families supporting educationg mamas papas key,joy,positive
197,im sure lost feel like everyone hostile toward hate feeling,anger,negative
198,feel like boring sewing makes since easy nothing else say fabric usage,sadness,negative
199,always liked use original fragrance freshen lightly scent underwear drawer feel gorgeously glamorous girly,joy,positive
200,feel like talented young man feel talented work,joy,positive
201,feel curious things around,surprise,negative
202,feel reason apart others lives im help become something push succeed successful happy,joy,positive
203,feel uncomfortable guess,fear,negative
204,feel pretty mellow far whatever healing wounding process may getting underway,joy,positive
205,wonder sometimes whether added antagonism misunderstanding many people towards us feel reluctant wholeheartedly support traditional armistice day remembrances,fear,positive
206,legs would feel shitty miles would come around like always,sadness,neutral
207,know unfair reaction run ways explain feel shaken best come right,fear,positive
208,seriously feel blessed support home amazing,love,positive
209,feel abused maligned mostly tired nervous feeling anticipating danger,sadness,negative
210,feeling pretty restless right typing,fear,positive
211,know gosman touristy place go montauk area infrequent visitors area want head harbor feel gentle cawing seagulls lapping water wood pilings relaxing breeze coming water,love,positive
212,admit hilarious e cards seriously exactly feel stressed feel moment could start hy,sadness,positive
213,wrote last year feeling dull inarticulate normal,sadness,negative
214,id kick gear feel irritable motivation ever,anger,neutral
215,feel child innocent feelings illustrating,joy,positive
216,satisfaction feeling longer supporting contributing looter driven consumerism made walking corpse america revered younger,love,positive
217,start feel resentful,anger,neutral
218,spend vacation obligations headaches feeling like emotional blackmailed three places,sadness,neutral
219,feel herpes coming would surprised point make checkup clinic wednesday,surprise,positive
220,feel fucked like everyday life,anger,negative
221,ive worked really hard year try make child class feel like valued,joy,negative
222,feeling disheartened words late,sadness,negative
223,feel like bitchy time upon retrospect think trying shake,anger,neutral
224,still second guess still terrible time making definitive decisions certain truths know feel assured truths,joy,negative
225,feel like eggs benedict something equally delicious,joy,positive
226,im feeling way trusting,joy,neutral
227,im feeling inspired summery elements favorite past time beach bummin,joy,positive
228,feel smiled love even gorgeous,joy,positive
229,continue define discover home mean amsterdam whenever feel pang blank sickness line missing cultural mindset american city life much different cultural mindset amsterdam,sadness,negative
230,make arcade simple purpose try make feel absolutely comfortable physically emotionally practically absolutely,joy,positive
231,say feel sympathetic,love,positive
232,feeling eager hopped tube ride eye london,joy,neutral
233,go online see friend talking another one talking feel ignored feel unloved,sadness,neutral
234,monitoring say anything ever come across blogs feel offended please dont stop,anger,neutral
235,feel like weird cancer one time,surprise,negative
236,want feel safe well maybe maybe theres small chance feel joy dreams come true,joy,positive
237,im feeling cranky,anger,neutral
238,also think puzzling particular administrator singled praise ability get students read feels ssr time productive use class time,joy,positive
239,tried fill befriending people knew using didnt care needed feel accepted even complete loser,love,positive
240,feel stressed always,sadness,neutral
241,remember feeling another cramp also ignored,sadness,neutral
242,hope feel mellow well fed well slept peace within external world,joy,neutral
243,also learned takes lot effort positive thinking break tears feeling exhausted guilty better mom,sadness,negative
244,im feeling awful hung friend new baby day,sadness,negative
245,feel relaxed fine,joy,positive
246,feel suffering really feel pain,sadness,positive
247,go sleep feel giving precious time something else life,joy,positive
248,feel like neglecting beloved mom blog,joy,positive
249,shalt say cos din feel thing wrote hw keen xxx,joy,neutral
250,feel terrified like im edge precipice staring ahead,fear,neutral
251,feel totally listless exams come gone whole five months front uni free time,sadness,positive
252,feel furious right life advocates tell live die lobbying supporting politicians sympathic views,anger,positive
253,feel abused way,sadness,neutral
254,im still paying attention feel distracted,anger,neutral
255,started third block feeling hot cold tingly time knowing still five hours examination ahead idea would good,love,positive
256,im hesitant make suggestions feel outcome would sincere,joy,positive
257,feel terribly fond majority precise time,love,negative
258,feel gaining control damaged goods aspects personal security,sadness,neutral
259,bombed first interview left second interview feeling pretty fan freaking tastic,joy,positive
260,think kind taken us long build good inventory sauces oils spices non perishables feel like chance making something delicious without specifically go buy every single item recipe,joy,positive
261,feel advise dads whose children soon become teenagers cool pull kid high school pick smelly jalopy plants coming windows,joy,positive
262,feel victimized drag country heads sand traditionalists hesitate call conservatives fear offending real honest god conservatives still think world created years ago stuff like skeletal remains kind hoax,sadness,positive
263,would feel lucky call materials kits site mine beautifully curated,joy,positive
264,bloods proved reason feeling lethargic rubbish low iron prescribed iron tablets,sadness,neutral
265,mind feel like mind dangerous life,anger,negative
266,feel like love everyone least compassionate toward others,love,positive
267,feel punished neglecting,sadness,neutral
268,feel like doesnt capture beauty lovely polish,love,positive
269,feel like lost main roots feel less secure emotionally financially socially,sadness,positive
270,feel like bite bullet every time think feel stressed im fully supported decisions,sadness,neutral
271,know obnoxiously immature sounding verbal tics voice kind nasal always come across like sharpest tool shed especially feeling awkward knowing knowing know,sadness,neutral
272,id terrible nightmare feeling little disturbed,sadness,negative
273,didnt want walk passed case customers feel disturbed,sadness,neutral
274,want sufferers able find hope battle help feel alone,sadness,positive
275,feeling exceptionally reluctant go school tomorrow even though monday timetable pretty good,fear,positive
276,festive feels delicious wheeeeee great night,joy,positive
277,looking forward beaten feeling like disappointment husband emotional pain,sadness,negative
278,im sick feeling crappy,sadness,negative
279,feel like almost convinced going pattern,joy,neutral
280,also wear im wearing dress makes feel slutty feels like antique underwears obviously little bit edgy maybe little bit little bit,love,negative
281,feel perverse pride self control managed stay ordered reach tempting human flesh close us,sadness,neutral
282,feel impatient easily annoyed outraged blatant defiance seems olivias prominent characteristic days,anger,negative
283,positively giddy kids left morning last official class year im feeling little sad,sadness,negative
284,feel supportive also cant help feel jealous,love,positive
285,mainly like text feel like much clever written word rather spoken,joy,positive
286,seriouly feel respected dont privacy ordered around,joy,neutral
287,said words devotee feel relieved hear title deen bandhu fallen person become afraid title uplifter devotees consider true devotee hence unworthy benefit aspect personality,joy,negative
288,personalities feel pain suffering,sadness,neutral
289,guess would feel like joseph walt trusting care mother finances six months died times want defend self god makes quiet,joy,neutral
290,warming starting feeling little lethargic,sadness,negative
291,feel excelent sometimes theres nothing especially since im really keen video games anymore watch bit anime movies theres got life,joy,positive
292,wonder master feeling r wanting eager please master could much enjoy attentions wrong desire return affections,joy,negative
293,im feeling little bit positive things quite hard first savings eaten quickly costs didnt want become burden boyfriend weve come end im feeling brighter inspired things come,joy,positive
294,im feeling rather sentimental right say feel lucky maxs mom,sadness,positive
295,make show feel isolated crowd ill know wrong anti social feeling,sadness,negative
296,ive learned turn emotions often find feeling completely blank mother crying continuously suicidalness,sadness,negative
297,feel loyal style,love,positive
298,understand may feel youd rather bit vulnerable homeless london precise way,fear,negative
299,finally stop feeling listless like waste space,sadness,negative
300,know im feeling agitated side effect high dose,fear,positive
301,feel shift positive,joy,positive
302,feeling brave enough,joy,positive
303,fear thief,fear,neutral
304,feel clever nov,joy,positive
305,always spend money mean feel dissatisfied exit store,anger,negative
306,im feeling really quite angry,anger,negative
307,feel kerry didnt supporting civil unions gay equality,love,positive
308,feel really ashamed,sadness,positive
309,feel amazing people life,surprise,positive
310,finally left feeling judged ridiculed intelligent,joy,positive
311,starting feel bit insulted stranger,anger,neutral
312,many days feel hopeless today light end yellow brick road shining little brighter,sadness,positive
313,actually feel sorrowful,sadness,neutral
314,see women wearing boots feel envious want curse,anger,neutral
315,feel feel tell together apologize make keep loving bits bits,love,positive
316,go say feeling impressed youre naomi klein right,surprise,positive
317,began feel senses dull cold black unconsciousness came,sadness,negative
318,suspect feel less fond private,love,negative
319,honoured young woman felt comfortable enough ask kind faux hawk thing going back must looked dykey enough feel safe talking,joy,positive
320,wonder cast caveman told perfect part feel insulted complimented,anger,positive
321,feel convinced plus many diverse price tags feel sure everyone come funds plot lighted relatively economically,joy,positive
322,feel empty baby isnt,sadness,negative
323,stopped feeling exhausted href http provokingbeauty,sadness,negative
324,im feeling font friendly,joy,positive
325,hand beads consciously breathing consciously working feel calm list things accomplish afternoon,joy,positive
326,always feel intimidated people especially always compare people ever since young,fear,positive
327,made feel rotten,sadness,neutral
328,started feeling hostile checking hemorrhoids,anger,neutral
329,love wearing new shoes feel glamourous get pair designer shoes love box trimmings come,joy,positive
330,know largely fact feelings romantic sexual successfully hidden,love,positive
331,love feeling something warmly hugging feeling precious small precious someone something,joy,positive
332,im feeling far mellow normal,joy,positive
333,became dismayed studied people wearing started feeling like though outfits gorgeous bought way,joy,positive
334,dont want wax draw anything need unibrow maybe get rid spare hairs creeping toward eyelid im feeling brave,joy,positive
335,im feeling lucky width li style border px list style outside margin px px,joy,positive
336,recall high school feelings longing watched olympic runners feel st,love,positive
337,woke feeling confident watched bodypump dvd gather coaching tips compulsory cues,joy,positive
338,didnt say strong feelings always make skeptical first,fear,positive
339,want talk limited time phone current arrangment feel hesitant bring,fear,negative
340,beginning feel theres good chance might pass,joy,positive
341,feel like little control help sweet pea better know ahead,joy,positive
342,feel like receiving end violent attack,anger,negative
343,feel worthwhile document people familiar batch files,joy,positive
344,feeling especially thankful many small blessings life right,joy,positive
345,hoping weatherman right forecast stay home dont venture rain tomorrow feeling kind creative,joy,positive
346,feel like im edge microcosm one awkward moment missed party id outside,sadness,negative
347,feel bit funny actually,surprise,positive
348,learnt nothing else last two years best feel way trusting instincts,joy,positive
349,feeling also blossoming eager anxiety,joy,neutral
350,feel burdened share,sadness,neutral
351,always want nemo side sleeping without feels weird even though doesnt happen often get,surprise,negative
352,im feeling outfit heels gorgeous,joy,positive
353,feel confused,fear,negative
354,feel session useful gave tools need move forward life,joy,positive
355,feel selfish bringing loneliness child know parents newtown grieving lost babies,anger,negative
356,took away disappointed feeling paining gave heart heal lord one love never betrayed never lose loyalty even loyal,love,positive
357,feel envious embarrassed,anger,neutral
358,could feel frantic need need make,fear,neutral
359,feeling overwhelmed responsibilities teacher someone trusting precious gift honor,surprise,positive
360,feel tranquil right great,joy,positive
361,feel frustrated new music new lyrics clearly nothing,anger,negative
362,thought going talk try work things shocked find steve decided wanted thing broke feeling unloved,sadness,negative
363,wouldnt beared witness incredibly well spoken bouncer making emo kid feel completely unwelcome,sadness,positive
364,tend stop breathing feeling stressed,sadness,neutral
365,smoker years quit weeks ago right finished book cant believe free feel knew quit terrified life without cigarettes,fear,positive
366,go mailbox talk mailman grocery clerk etc matter small step limited risk complete total willingness experience whatever thoughts feelings sensations emerge important,joy,positive
367,already feeling frantic,fear,neutral
368,feel like insecurity good thing first started writing pictured,joy,positive
369,feel complimented insulted,anger,neutral
370,crave fall submission feel submissive least,sadness,negative
371,feel tender fine,love,positive
372,feel irritated pissed even like someone wakes moment edge falling deep slumber,anger,neutral
373,made work feeling little groggy,sadness,negative
374,want love feel like sort hindrance thats keeping loving,love,positive
375,feel fond ok second thought really sensitive spelled everything,love,positive
376,ill get round quarter im feeling hopeful one,joy,negative
377,im starting feel unwelcome life people already tell,sadness,neutral
378,feel absolutely fantastic hope baby,joy,positive
379,watched snow fall accumulate conifer trees shoveling shirt sleeves feeling vigorous,joy,neutral
380,feel bitter honkerblonked general,anger,negative
381,feeling father already convinced,joy,neutral
382,love feel passionate living dream gotten taste feels like nothing stop,love,positive
383,play rain squeal glee feeling mud squishing toes enjoy pretty much anything takes place outdoors,joy,positive
384,feeling humorous put cold callers hold,joy,negative
385,busy stuffs never blogs threads make feel miserable,sadness,negative
386,feel energized curious life god potential give something back society finding someone heart,surprise,negative
387,feel privileged also lot work,joy,neutral
388,im pretty happy little nauseated side feel thrilled,joy,positive
389,close eyes hear pitiful wailing sounds cries taste salty taste tears feel anger hurt saturating heart,sadness,negative
390,bought virtually fat free thousand islands feeling impressed hold large quantities substance leaves lettuce cucumber friend total sugar becomes burn fat,surprise,positive
391,im sure folks virginia florida handful swing states agree feel put upon insulted constant barrage,anger,positive
392,feel like im putting innocent man death row,joy,positive
393,sure else help feel smart,joy,positive
394,begin feel every waking moment devoted work,love,neutral
395,feel thankful lessons learning,joy,neutral
396,feel longing sadness see families children,love,neutral
397,feel distinctly called clermont focus little ones seem naughty,love,negative
398,hope feel glad gave many things including memories cherish,joy,positive
399,feeling pretty worthless right,sadness,negative
400,feel projects clever useful enough figured would start sharing instructables wrote first one weekend,joy,positive
401,continued think along lines probably would done dishes anger got wed fight feeling completely abused,sadness,negative
402,didnt feel especially nervous finland landed paris little unsure would ahead us thought st grade student janne suominen,fear,negative
403,feel envious kids certain moments,anger,positive
404,feeling like pretty crappy mom,sadness,positive
405,im feeling pissed aac feeling kind miserable frustrated life whole week,anger,negative
406,im scared anymore im fine feel terrific surgery,joy,positive
407,still feel vulnerable around,fear,negative
408,honestly sure feel stunned,surprise,positive
409,feel caring person attract caring people life,love,neutral
410,im left feeling quite embarrassed say nothings new,sadness,positive
411,feel unwelcome place buti cant decide scared anything ok situation staying dead end situation afraid things get worse,sadness,negative
412,may may cried thanking making children feel special loved,joy,positive
413,really want go buy yardage art gallery play feels amazing,surprise,positive
414,feel like shes losing sense self adapt thinks loyal,love,positive
415,feel burdened several loved ones miss big kid havent seen since friday,sadness,positive
416,feel still really low abdomen,sadness,neutral
417,feel like welcomed tight knit family make sure feel alone ever,joy,positive
418,feel doubtful,fear,negative
419,usually use smaller legos however year students fine motor delays want students feel successful,joy,positive
420,get exercise feel like im something worthwhile meantime,joy,positive
421,feel like life rich fulfilling know people look way live feel misplaced pity,joy,positive
422,feel blessed amazed yes excited,love,positive
423,feel hesitant talking,fear,neutral
424,try get least minutes day five days week though known skip workout feeling particularly lethargic lazy,sadness,negative
425,feeling beaten sick utterly devoid hope ever life want,sadness,negative
426,feel hesitant comment want add pileon seems clear involved learned past experiences interested applying learning future projects,fear,positive
427,feel quite passionate communion tremendous importance personally theologically,love,positive
428,im feeling happy well,joy,positive
429,find much time think without feeling depressed actually able write imagine without feeling trapped like missing something near constant feeling cities,sadness,positive
430,got feeling brig sincere strong desire help others become successful financially also building strengthening relationships christianity,joy,positive
431,feel like ive fake feelings lot often would liked,sadness,positive
432,feeling energetic decided going bike rest temples,joy,positive
433,im really like said understand way feel toni ight blamed excesses merican dream seldom witnessed never er seen hah hah hah hah hah,sadness,positive
434,happpy get good results field academics athletics,joy,positive
435,dont know want work always something makes feel stressed anxious work whatever job may jobs require sort rules pressure,sadness,negative
436,id pop chair feeling like something worthwhile,joy,positive
437,really hoping theyd get far enough ahead us could feel like navigating delighted punching second control headed onto trail woods,joy,positive
438,feel like normally would angry thats actually think could never beautiful size,anger,negative
439,wonder many people feel like perspective think sake without wanting turn result crappy work,sadness,positive
440,feel indecisive whether feel book huckleberry finn censored,fear,neutral
441,known likes kamiki kun laughs nozomi feels unpleasant knot stomach must think fool nonchan,sadness,negative
442,made choice start recognizing feeling unloved kicks choose keep persistence level allowing old reaction shut,sadness,positive
443,feel like im hated celebrated cant wait till day say made,anger,negative
444,still feel funny writing like maybe call spirit guide really observant cheerleader something,surprise,positive
445,would rather feel nothing feel surprised find life depressing grey unrewarding,surprise,negative
446,feel comfortable decision,joy,positive
447,get really sweaty episodes stomach feel really funny like free falling,surprise,positive
448,feeling overwhelmed lately,fear,negative
449,learnt much wonderful world beaubronz feel lovely tanning brand fits perfectly latest mantra stolen boudoir lashes mother asma docrat,love,positive
450,feel rebellious particularly like watching romcoms get feeling may pretty good writing,anger,positive
451,didnt feel welcomed first entered morris quickly changed left feeling happy,joy,positive
452,im contemplating feeling skeptical,fear,negative
453,ive become anxious recent times certainly feeling amongst people belief siege often disadvantaged looked considered way different faith makes less worthy regard said,sadness,positive
454,feel like care im bit heartless,anger,neutral
455,hate chemo thought toxins washing every single cell making feel horrible makes cringe,sadness,negative
456,feel honoured hosted series talented,joy,positive
457,love feel threatened around little,fear,positive
458,feel reading allthingsbucks blog brought tears eyes lump throat feeling worthwhile thing upset shouldnt write lame blog,joy,neutral
459,feeling determined didnt take long start nomming naughty stuff,joy,negative
460,feel honored many wonderful artists display work public see,joy,positive
461,remember fully stressed fun feel could lively,joy,positive
462,feel dazed href http twitter,surprise,negative
463,feel bitchy hurting,anger,neutral
464,always feel like ive assaulted pics,sadness,neutral
465,im thankful everything seems working wrap week new job also feeling pretty lucky people lives,joy,positive
466,feel incredibly isolated lonely,sadness,positive
467,feel selfish talk anyone else thyroid want think dramatic whiny really hard understand yes someone look fine still feel terrible,anger,negative
